ds,yhat,yhat_lower,yhat_upper
2022-09-13,180.67597958631382,168.2869562602492,193.38162975034555
2022-09-14,178.7828437123253,166.23767690223278,191.4912222324713
2022-09-15,179.81938489018214,167.2345947911145,192.192949301037
2022-09-16,180.63012477228602,168.61794384903334,193.16360316526033
2022-09-17,180.24217400878675,168.12873084550725,193.4974590007182
2022-09-18,179.76928372553746,167.82914355641597,192.10961656562088
2022-09-19,177.8900735729157,165.82853311098415,190.18269327929724
2022-09-20,179.75134720275753,167.21074655245224,191.6336669017947
2022-09-21,177.9868177330764,166.11149098991126,189.63061218614425
2022-09-22,179.16248027093624,167.43976709885578,190.85196116080132
2022-09-23,180.1209597215668,168.4577466113046,193.07552665546555
2022-09-24,179.88714639771564,167.70693989588878,192.46386273194256
2022-09-25,179.57230248599166,167.7563870518885,191.35191691562568
2022-09-26,177.8523546897868,165.75074338259043,190.457900389101
2022-09-27,179.87128215468385,167.02613082251273,192.81727441994877
2022-09-28,178.25992021579336,165.89768777473574,190.1977269109716
2022-09-29,179.58141480385586,167.69478328971024,191.95074856672593
2022-09-30,180.67565335542938,167.38034975685343,192.6260546365858
2022-10-01,180.56498227790166,167.66393720810166,193.52365617949692
2022-10-02,180.3583915543226,168.32387798607235,192.45970740842853
2022-10-03,178.72987940107834,166.22028160089678,190.6601005045745
2022-10-04,180.82190381577593,168.60418655045228,193.07162061485388
2022-10-05,179.26423949300815,166.8397331770629,191.28174643544116
2022-10-06,180.61947315527743,168.27052014174166,193.03869840008053
2022-10-07,181.727461683635,168.65385531943969,193.78832016288843
2022-10-08,181.6110620153981,169.02787622761642,193.45917652804866
2022-10-09,181.37979362500786,169.3444136108899,194.04519329533917
2022-10-10,179.7097417807691,167.58800821165357,192.17416066230197
2022-10-11,181.7454176329394,168.5059882640906,194.37196909505974
2022-10-12,180.11908530821174,167.5708435288805,192.42835251421093
2022-10-13,181.39619468138451,168.3425685674405,192.92326418025362
2022-10-14,182.4197648572332,169.50937344599407,194.92112154633293
2022-10-15,182.21602925632726,170.51778660671837,195.10922659175736
2022-10-16,181.89852447822747,169.27679133447256,194.6016869442405
2022-10-17,180.14633815431264,167.23021241792293,193.5756497952336
2022-10-18,182.10742558303124,169.6944356147964,194.4488427138052
2022-10-19,180.41731716177532,168.74282121857513,193.45566468224519
2022-10-20,181.64445368723133,169.9080683366673,193.9494946048188
2022-10-21,182.63447831315838,170.78858678162925,194.15591033199726
2022-10-22,182.4157987957334,170.52944989204317,194.0329606112878
2022-10-23,182.1036047348777,169.7335327351386,193.45584417420739
